frame,brightness,size,catchlights,blink
469,71.71461609620721,4324,4,0
470,71.73773498395232,4362,4,0
471,72.29913753971857,4406,4,0
472,72.53988283010365,4438,4,0
473,71.26107445805843,4244,4,0
474,69.42657342657343,4004,4,0
475,68.89638932496075,3822,4,0
476,66.4812362030905,1812,2,1
477,68.93820224719101,3916,4,0
478,66.62979189485213,1826,2,1
479,69.45217391304348,4140,4,0
480,70.18811881188118,4040,4,0
481,70.77857484457198,4182,4,0
482,71.21445221445221,4290,4,0
483,72.40971585701192,4364,4,0
484,73.3170055452865,4328,4,0
485,73.45433685176687,4358,4,0
486,72.90892614408699,4414,4,0
487,72.56852343059239,4524,4,0
488,70.16750700280112,3570,4,0
489,0.0,0,0,1
490,0.0,0,0,1
491,0.0,0,0,1
492,0.0,0,0,1
493,47.23776223776224,286,1,1
494,0.0,0,0,1
495,0.0,0,0,1
496,0.0,0,0,1
497,48.24755700325733,614,1,1
498,0.0,0,0,1
499,0.0,0,0,1
500,0.0,0,0,1
501,0.0,0,0,1
502,0.0,0,0,1
503,0.0,0,0,1
504,0.0,0,0,1
505,0.0,0,0,1
506,0.0,0,0,1
507,0.0,0,0,1
508,0.0,0,0,1
509,56.78321678321678,1430,3,0
510,57.50628366247756,1114,2,1
511,56.99145299145299,1404,3,0
512,57.51058201058201,1512,3,0
513,57.91906721536351,1458,3,0
514,58.57503320053121,1506,3,0
515,59.580862533692724,1484,3,0
516,59.237797246558195,1598,3,0
517,58.372549019607845,1530,3,0
518,58.37547408343868,1582,3,0
519,58.833333333333336,1524,3,0
520,59.00361881785283,1658,3,0
521,59.872727272727275,1430,2,1
522,59.927125506072876,1976,3,0
523,61.13142857142857,2100,3,0
524,61.601216333622936,2302,3,0
525,60.50687022900763,2620,4,0
526,61.303307529908516,2842,4,0
527,60.19674185463659,3192,5,0
528,60.84150030248034,3306,5,0
529,61.324153757888695,3486,5,0
530,62.45015105740181,3310,4,0
531,63.13344226579521,3672,5,0
532,65.49242424242425,3432,4,0
533,65.72811310494833,3678,4,0
534,66.12859560067682,3546,4,0
535,65.58514796203238,3582,4,0
536,65.9750593824228,3368,4,0
537,65.38117106773824,3484,4,0
538,65.1951219512195,3362,4,0
539,66.08187772925764,3664,4,0
540,65.90785169029444,3668,4,0
541,67.6582411795682,3798,4,0
